ID,Theoretical Mean,Actual Mean,Theoretical Standard Deviation,Actual Standard Deviation
1,84,84.009375,1,1.045378843
2,84,83.98001543,2,2.020035911
3,84,83.98094136,3,3.026335945
4,84,83.9785108,4,4.005229377
5,84,83.95655864,5,5.022274107
6,84,84.00528549,6,5.980104738
7,84,83.96199846,7,6.924508933
8,84,83.91959877,8,7.82950001
9,84,83.80597994,9,8.708515219
10,84,83.86107253,10,9.563990528
11,86,85.98773148,1,1.039853606
12,86,86.0189429,2,2.012343742
13,86,85.9974537,3,3.008391571
14,86,86.01261574,4,4.013994553
15,86,85.95871914,5,4.986520004
16,86,85.9845679,6,5.990906555
17,86,86.00300926,7,6.920563548
18,86,85.91747685,8,7.691178702
19,86,85.81253858,9,8.574005266
20,86,85.61998457,10,9.331307488
21,88,87.99699074,1,1.0364283
22,88,88.0191358,2,2.01263907
23,88,88.00239198,3,3.014835623
24,88,88.02677469,4,3.990030684
25,88,88.0224537,5,4.965558806
26,88,87.90304784,6,5.884884616
27,88,87.8912037,7,6.763500843
28,88,87.66940586,8,7.542607957
29,88,87.61226852,9,8.313416968
30,88,87.34625772,10,9.026300758
31,90,89.99525463,1,1.039748185
32,90,89.99039352,2,2.023594457
33,90,89.97391975,3,3.023771004
34,90,90.01057099,4,3.974770464
35,90,89.98738426,5,4.910153345
36,90,89.8130787,6,5.75705589
37,90,89.76990741,7,6.589241213
38,90,89.51003086,8,7.3707058
39,90,89.44128086,9,7.968417901
40,90,89.20243056,10,8.712363395
41,92,92.00617284,1,1.027591355
42,92,92.0087963,2,2.023455142
43,92,91.95887346,3,2.986589618
44,92,91.9501929,4,3.931572092
45,92,91.89579475,5,4.77731088
46,92,91.79645062,6,5.521012593
47,92,91.57299383,7,6.244370575
48,92,91.29444444,8,6.929497297
49,92,91.10597994,9,7.570678259
50,92,90.82403549,10,8.196797245
51,94,94.00540123,1,1.037646326
52,94,94.0003858,2,2.017440032
53,94,93.98109568,3,2.938984551
54,94,93.87858796,4,3.802428636
55,94,93.67681327,5,4.532649942
56,94,93.54540895,6,5.190147849
57,94,93.24660494,7,5.834992318
58,94,92.9410108,8,6.50231169
59,94,92.64182099,9,7.117215589
60,94,92.26898148,10,7.739654992
61,96,96.01130401,1,1.037951993
62,96,95.97114198,2,1.978806789
63,96,95.86195988,3,2.790401031
64,96,95.70061728,4,3.471571283
65,96,95.42716049,5,4.117513
66,96,95.03256173,6,4.797574999
67,96,94.78341049,7,5.348238252
68,96,94.36867284,8,5.951314762
69,96,93.99174383,9,6.592046766
70,96,93.74729938,10,7.108162738
71,98,98.00092593,1,1.026369741
72,98,97.86111111,2,1.746149302
73,98,97.55690586,3,2.374794529
74,98,97.203125,4,3.003628006
75,98,96.85914352,5,3.580401213
76,98,96.49008488,6,4.157725307
77,98,96.09718364,7,4.731227439
78,98,95.75632716,8,5.302933774
79,98,95.30015432,9,5.957825979
80,98,94.91728395,10,6.516950617
81,100,99.6189429,1,0.624403694
82,100,99.21022377,2,1.193392865
83,100,98.81049383,3,1.770583105
84,100,98.38823302,4,2.368825815
85,100,98.0150463,5,2.940896584
86,100,97.59220679,6,3.529505718
87,100,97.20486111,7,4.131486934
88,100,96.78873457,8,4.694440945
89,100,96.42989969,9,5.236107591
90,100,96.05914352,10,5.806698621
